Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Label
0.943337967,0.208617715,0.617389306,0.330117209,0.064409464,0.95111766,0.967759503,0.973755726,0.951575357,0.292008602,0.974920296,0.024175455,0.245517011,0.034712662,0.458816886,1
0.940638212,0.215837379,0.603641594,0.327810771,0.065230775,0.965421421,0.976471823,0.972632005,0.96017985,0.295759552,0.972618479,0.042471967,0.256997452,0.018523703,0.418197755,1
0.428964471,0.990532871,0.853539736,0.403182982,0.016108828,0.016464135,0.044816397,0.871382514,0.644939699,0.475614994,0.021800451,0.972312913,0.966532655,0.221309393,0.25288839,0
0.960735058,0.208362611,0.585959533,0.353707264,0.050890264,0.992688742,0.958541104,0.95577662,0.954150589,0.289097342,0.967344005,0.025012403,0.258408077,0.038436409,0.426878142,1
0.834423811,0.035726274,0.009413824,0.965531071,1,0.786993029,0.336643325,0.019869845,0.733194635,0.052531167,0.131893657,0.473612611,0.038277864,0.979814399,0.339361566,0
0.049637517,0.21591846,0.587631779,0.133881661,0.189621597,0.563459455,0.127451124,0.244350172,0.36520301,0.069938372,0.837554284,0.175190529,0.591112755,0.63924221,0.037472092,0
0.420392865,0.166009513,0.961936589,0.030821387,0.158693763,0.456629564,0.144006379,0.829936225,0.022870251,0.938679518,0.794696329,0.124789651,0.037179672,0.847644133,0.952962482,1
0.426457133,0.980655557,0.856396262,0.404803273,0.008910743,0.035717298,0.014011089,0.88034473,0.624278637,0.486729737,0.021029692,0.97429423,0.967468579,0.218793343,0.241834922,0
0.03413738,0.189417369,0.601435541,0.136898084,0.176924419,0.537044272,0.147186952,0.24487869,0.3619988,0.087690658,0.81957409,0.145749029,0.59857894,0.614276006,0.02297715,0
0.840266452,0.042660814,0.039802612,0.976547164,0.99550106,0.78690041,0.323308129,0.020792988,0.746916549,0.058050936,0.139308894,0.463757736,0.048283277,0.989892792,0.324370261,0
